Validation_Set,Topics,Alpha,Beta,Coherence,,,Topics,Score
100% Corpus,2,0.01,0.01,0.577667335,18.04894478,,2,0.601631493
100% Corpus,2,0.01,0.31,0.617554141,0.601631493,,3,0.604543878
100% Corpus,2,0.01,0.61,0.584775493,,,4,0.593538676
100% Corpus,2,0.01,0.91,0.628679352,,,5,0.588797407
100% Corpus,2,0.01,symmetric,0.590730714,,,6,0.585566028
100% Corpus,2,0.31,0.01,0.602960085,,,7,0.582447725
100% Corpus,2,0.31,0.31,0.59878016,,,8,0.564605857
100% Corpus,2,0.31,0.61,0.604465941,,,9,0.566869848
100% Corpus,2,0.31,0.91,0.600676899,,,10,0.569841253
100% Corpus,2,0.31,symmetric,0.588306075,,,,
100% Corpus,2,0.61,0.01,0.614317458,,,,
100% Corpus,2,0.61,0.31,0.596778085,,,,
100% Corpus,2,0.61,0.61,0.60603199,,,,
100% Corpus,2,0.61,0.91,0.588370053,,,,
100% Corpus,2,0.61,symmetric,0.601062143,,,,
100% Corpus,2,0.91,0.01,0.606732389,,,,
100% Corpus,2,0.91,0.31,0.610379897,,,,
100% Corpus,2,0.91,0.61,0.607022967,,,,
100% Corpus,2,0.91,0.91,0.569947683,,,,
100% Corpus,2,0.91,symmetric,0.601450266,,,,
100% Corpus,2,symmetric,0.01,0.589504796,,,,
100% Corpus,2,symmetric,0.31,0.591562219,,,,
100% Corpus,2,symmetric,0.61,0.584245876,,,,
100% Corpus,2,symmetric,0.91,0.588358973,,,,
100% Corpus,2,symmetric,symmetric,0.584245876,,,,
100% Corpus,2,asymmetric,0.01,0.648604999,,,,
100% Corpus,2,asymmetric,0.31,0.660950087,,,,
100% Corpus,2,asymmetric,0.61,0.602380764,,,,
100% Corpus,2,asymmetric,0.91,0.557016981,,,,
100% Corpus,2,asymmetric,symmetric,0.645385087,,,,
100% Corpus,3,0.01,0.01,0.589118628,18.13631635,,,
100% Corpus,3,0.01,0.31,0.608329622,0.604543878,,,
100% Corpus,3,0.01,0.61,0.623393503,,,,
100% Corpus,3,0.01,0.91,0.603051318,K = 3,,,
100% Corpus,3,0.01,symmetric,0.595433847,0.674127804,,,
100% Corpus,3,0.31,0.01,0.597226734,,,,
100% Corpus,3,0.31,0.31,0.607180131,Alpha,,,
100% Corpus,3,0.31,0.61,0.558675418,asymmetric,,,
100% Corpus,3,0.31,0.91,0.609349526,,,,
100% Corpus,3,0.31,symmetric,0.581911997,Beta,,,
100% Corpus,3,0.61,0.01,0.592810363,symmetric,,,
100% Corpus,3,0.61,0.31,0.593119543,,,,
100% Corpus,3,0.61,0.61,0.596420689,,,,
100% Corpus,3,0.61,0.91,0.610741186,,,,
100% Corpus,3,0.61,symmetric,0.592374252,,,,
100% Corpus,3,0.91,0.01,0.601893888,,,,
100% Corpus,3,0.91,0.31,0.587931206,,,,
100% Corpus,3,0.91,0.61,0.591402687,,,,
100% Corpus,3,0.91,0.91,0.590760986,,,,
100% Corpus,3,0.91,symmetric,0.61197445,,,,
100% Corpus,3,symmetric,0.01,0.597205336,,,,
100% Corpus,3,symmetric,0.31,0.580259627,,,,
100% Corpus,3,symmetric,0.61,0.613798944,,,,
100% Corpus,3,symmetric,0.91,0.608120941,,,,
100% Corpus,3,symmetric,symmetric,0.600797672,,,,
100% Corpus,3,asymmetric,0.01,0.63843998,,,,
100% Corpus,3,asymmetric,0.31,0.657959702,,,,
100% Corpus,3,asymmetric,0.61,0.599266201,,,,
100% Corpus,3,asymmetric,0.91,0.623240165,,,,
100% Corpus,3,asymmetric,symmetric,0.674127804,,,,
100% Corpus,4,0.01,0.01,0.599590566,17.80616028,,,
100% Corpus,4,0.01,0.31,0.555821369,0.593538676,,,
100% Corpus,4,0.01,0.61,0.58726469,,,,
100% Corpus,4,0.01,0.91,0.596748679,,,,
100% Corpus,4,0.01,symmetric,0.587679573,,,,
100% Corpus,4,0.31,0.01,0.561546059,,,,
100% Corpus,4,0.31,0.31,0.595799679,,,,
100% Corpus,4,0.31,0.61,0.545969217,,,,
100% Corpus,4,0.31,0.91,0.584168243,,,,
100% Corpus,4,0.31,symmetric,0.578263017,,,,
100% Corpus,4,0.61,0.01,0.569133254,,,,
100% Corpus,4,0.61,0.31,0.591531949,,,,
100% Corpus,4,0.61,0.61,0.574538336,,,,
100% Corpus,4,0.61,0.91,0.579325467,,,,
100% Corpus,4,0.61,symmetric,0.601743762,,,,
100% Corpus,4,0.91,0.01,0.585125229,,,,
100% Corpus,4,0.91,0.31,0.597002786,,,,
100% Corpus,4,0.91,0.61,0.612415208,,,,
100% Corpus,4,0.91,0.91,0.632756804,,,,
100% Corpus,4,0.91,symmetric,0.597005848,,,,
100% Corpus,4,symmetric,0.01,0.593286921,,,,
100% Corpus,4,symmetric,0.31,0.604023757,,,,
100% Corpus,4,symmetric,0.61,0.582463933,,,,
100% Corpus,4,symmetric,0.91,0.594719125,,,,
100% Corpus,4,symmetric,symmetric,0.56322656,,,,
100% Corpus,4,asymmetric,0.01,0.676171357,,,,
100% Corpus,4,asymmetric,0.31,0.64492555,,,,
100% Corpus,4,asymmetric,0.61,0.594089819,,,,
100% Corpus,4,asymmetric,0.91,0.572342085,,,,
100% Corpus,4,asymmetric,symmetric,0.647481436,,,,
100% Corpus,5,0.01,0.01,0.575104217,17.6639222,,,
100% Corpus,5,0.01,0.31,0.580870214,0.588797407,,,
100% Corpus,5,0.01,0.61,0.592660122,,,,
100% Corpus,5,0.01,0.91,0.570676237,,,,
100% Corpus,5,0.01,symmetric,0.573431417,,,,
100% Corpus,5,0.31,0.01,0.571197534,,,,
100% Corpus,5,0.31,0.31,0.557607153,,,,
100% Corpus,5,0.31,0.61,0.570665707,,,,
100% Corpus,5,0.31,0.91,0.5737419,,,,
100% Corpus,5,0.31,symmetric,0.57661274,,,,
100% Corpus,5,0.61,0.01,0.575681606,,,,
100% Corpus,5,0.61,0.31,0.606302522,,,,
100% Corpus,5,0.61,0.61,0.588612007,,,,
100% Corpus,5,0.61,0.91,0.588823361,,,,
100% Corpus,5,0.61,symmetric,0.579471393,,,,
100% Corpus,5,0.91,0.01,0.606728068,,,,
100% Corpus,5,0.91,0.31,0.612642163,,,,
100% Corpus,5,0.91,0.61,0.635820538,,,,
100% Corpus,5,0.91,0.91,0.631480165,,,,
100% Corpus,5,0.91,symmetric,0.605349218,,,,
100% Corpus,5,symmetric,0.01,0.577304776,,,,
100% Corpus,5,symmetric,0.31,0.574965613,,,,
100% Corpus,5,symmetric,0.61,0.576792733,,,,
100% Corpus,5,symmetric,0.91,0.575468031,,,,
100% Corpus,5,symmetric,symmetric,0.556480838,,,,
100% Corpus,5,asymmetric,0.01,0.617705718,,,,
100% Corpus,5,asymmetric,0.31,0.583443066,,,,
100% Corpus,5,asymmetric,0.61,0.587685965,,,,
100% Corpus,5,asymmetric,0.91,0.602729414,,,,
100% Corpus,5,asymmetric,symmetric,0.637867763,,,,
100% Corpus,6,0.01,0.01,0.560767982,17.56698085,,,
100% Corpus,6,0.01,0.31,0.585618158,0.585566028,,,
100% Corpus,6,0.01,0.61,0.585216111,,,,
100% Corpus,6,0.01,0.91,0.580334541,,,,
100% Corpus,6,0.01,symmetric,0.569230184,,,,
100% Corpus,6,0.31,0.01,0.549613019,,,,
100% Corpus,6,0.31,0.31,0.558969416,,,,
100% Corpus,6,0.31,0.61,0.566787726,,,,
100% Corpus,6,0.31,0.91,0.563483261,,,,
100% Corpus,6,0.31,symmetric,0.5536638,,,,
100% Corpus,6,0.61,0.01,0.575950492,,,,
100% Corpus,6,0.61,0.31,0.602777231,,,,
100% Corpus,6,0.61,0.61,0.604264182,,,,
100% Corpus,6,0.61,0.91,0.593108817,,,,
100% Corpus,6,0.61,symmetric,0.594735494,,,,
100% Corpus,6,0.91,0.01,0.600577861,,,,
100% Corpus,6,0.91,0.31,0.627641037,,,,
100% Corpus,6,0.91,0.61,0.647328791,,,,
100% Corpus,6,0.91,0.91,0.650109732,,,,
100% Corpus,6,0.91,symmetric,0.607579287,,,,
100% Corpus,6,symmetric,0.01,0.560292564,,,,
100% Corpus,6,symmetric,0.31,0.580911515,,,,
100% Corpus,6,symmetric,0.61,0.5831742,,,,
100% Corpus,6,symmetric,0.91,0.577154197,,,,
100% Corpus,6,symmetric,symmetric,0.568262714,,,,
100% Corpus,6,asymmetric,0.01,0.61835535,,,,
100% Corpus,6,asymmetric,0.31,0.595440024,,,,
100% Corpus,6,asymmetric,0.61,0.53438222,,,,
100% Corpus,6,asymmetric,0.91,0.56716233,,,,
100% Corpus,6,asymmetric,symmetric,0.604088614,,,,
100% Corpus,7,0.01,0.01,0.569120846,17.47343174,,,
100% Corpus,7,0.01,0.31,0.577142837,0.582447725,,,
100% Corpus,7,0.01,0.61,0.574121436,,,,
100% Corpus,7,0.01,0.91,0.579428098,,,,
100% Corpus,7,0.01,symmetric,0.556099132,,,,
100% Corpus,7,0.31,0.01,0.529427458,,,,
100% Corpus,7,0.31,0.31,0.568706076,,,,
100% Corpus,7,0.31,0.61,0.56943992,,,,
100% Corpus,7,0.31,0.91,0.57361976,,,,
100% Corpus,7,0.31,symmetric,0.536942663,,,,
100% Corpus,7,0.61,0.01,0.585173434,,,,
100% Corpus,7,0.61,0.31,0.607585967,,,,
100% Corpus,7,0.61,0.61,0.621710041,,,,
100% Corpus,7,0.61,0.91,0.617883017,,,,
100% Corpus,7,0.61,symmetric,0.588851465,,,,
100% Corpus,7,0.91,0.01,0.614873077,,,,
100% Corpus,7,0.91,0.31,0.646437128,,,,
100% Corpus,7,0.91,0.61,0.647065616,,,,
100% Corpus,7,0.91,0.91,0.670709401,,,,
100% Corpus,7,0.91,symmetric,0.592782796,,,,
100% Corpus,7,symmetric,0.01,0.541024434,,,,
100% Corpus,7,symmetric,0.31,0.571509906,,,,
100% Corpus,7,symmetric,0.61,0.589836293,,,,
100% Corpus,7,symmetric,0.91,0.574407403,,,,
100% Corpus,7,symmetric,symmetric,0.547186926,,,,
100% Corpus,7,asymmetric,0.01,0.551286164,,,,
100% Corpus,7,asymmetric,0.31,0.594204057,,,,
100% Corpus,7,asymmetric,0.61,0.501709106,,,,
100% Corpus,7,asymmetric,0.91,0.553471557,,,,
100% Corpus,7,asymmetric,symmetric,0.621675726,,,,
100% Corpus,8,0.01,0.01,0.536963888,16.9381757,,,
100% Corpus,8,0.01,0.31,0.576531943,0.564605857,,,
100% Corpus,8,0.01,0.61,0.554519872,,,,
100% Corpus,8,0.01,0.91,0.580824181,,,,
100% Corpus,8,0.01,symmetric,0.541735373,,,,
100% Corpus,8,0.31,0.01,0.518355126,,,,
100% Corpus,8,0.31,0.31,0.549519557,,,,
100% Corpus,8,0.31,0.61,0.555981615,,,,
100% Corpus,8,0.31,0.91,0.559556666,,,,
100% Corpus,8,0.31,symmetric,0.537072428,,,,
100% Corpus,8,0.61,0.01,0.581035132,,,,
100% Corpus,8,0.61,0.31,0.598250475,,,,
100% Corpus,8,0.61,0.61,0.58809571,,,,
100% Corpus,8,0.61,0.91,0.619749219,,,,
100% Corpus,8,0.61,symmetric,0.589287964,,,,
100% Corpus,8,0.91,0.01,0.589905319,,,,
100% Corpus,8,0.91,0.31,0.6118022,,,,
100% Corpus,8,0.91,0.61,0.65583988,,,,
100% Corpus,8,0.91,0.91,0.656864181,,,,
100% Corpus,8,0.91,symmetric,0.599675533,,,,
100% Corpus,8,symmetric,0.01,0.518384808,,,,
100% Corpus,8,symmetric,0.31,0.530310596,,,,
100% Corpus,8,symmetric,0.61,0.568780953,,,,
100% Corpus,8,symmetric,0.91,0.574735118,,,,
100% Corpus,8,symmetric,symmetric,0.544903632,,,,
100% Corpus,8,asymmetric,0.01,0.563772534,,,,
100% Corpus,8,asymmetric,0.31,0.503784016,,,,
100% Corpus,8,asymmetric,0.61,0.51959008,,,,
100% Corpus,8,asymmetric,0.91,0.496842874,,,,
100% Corpus,8,asymmetric,symmetric,0.515504827,,,,
100% Corpus,9,0.01,0.01,0.563737181,17.00609544,,,
100% Corpus,9,0.01,0.31,0.576269574,0.566869848,,,
100% Corpus,9,0.01,0.61,0.555799162,,,,
100% Corpus,9,0.01,0.91,0.542666741,,,,
100% Corpus,9,0.01,symmetric,0.560390144,,,,
100% Corpus,9,0.31,0.01,0.528365898,,,,
100% Corpus,9,0.31,0.31,0.556545796,,,,
100% Corpus,9,0.31,0.61,0.528608498,,,,
100% Corpus,9,0.31,0.91,0.548022561,,,,
100% Corpus,9,0.31,symmetric,0.535517796,,,,
100% Corpus,9,0.61,0.01,0.572605404,,,,
100% Corpus,9,0.61,0.31,0.614520162,,,,
100% Corpus,9,0.61,0.61,0.613570385,,,,
100% Corpus,9,0.61,0.91,0.622165343,,,,
100% Corpus,9,0.61,symmetric,0.582547027,,,,
100% Corpus,9,0.91,0.01,0.602359129,,,,
100% Corpus,9,0.91,0.31,0.595652412,,,,
100% Corpus,9,0.91,0.61,0.62876103,,,,
100% Corpus,9,0.91,0.91,0.688414775,,,,
100% Corpus,9,0.91,symmetric,0.610507293,,,,
100% Corpus,9,symmetric,0.01,0.557006662,,,,
100% Corpus,9,symmetric,0.31,0.523140659,,,,
100% Corpus,9,symmetric,0.61,0.526902977,,,,
100% Corpus,9,symmetric,0.91,0.537145002,,,,
100% Corpus,9,symmetric,symmetric,0.57408478,,,,
100% Corpus,9,asymmetric,0.01,0.573718419,,,,
100% Corpus,9,asymmetric,0.31,0.572534271,,,,
100% Corpus,9,asymmetric,0.61,0.556811739,,,,
100% Corpus,9,asymmetric,0.91,0.451312552,,,,
100% Corpus,9,asymmetric,symmetric,0.506412069,,,,
100% Corpus,10,0.01,0.01,0.534164097,17.0952376,,,
100% Corpus,10,0.01,0.31,0.52135593,0.569841253,,,
100% Corpus,10,0.01,0.61,0.540628392,,,,
100% Corpus,10,0.01,0.91,0.557655381,,,,
100% Corpus,10,0.01,symmetric,0.564699245,,,,
100% Corpus,10,0.31,0.01,0.538212413,,,,
100% Corpus,10,0.31,0.31,0.531068812,,,,
100% Corpus,10,0.31,0.61,0.551018422,,,,
100% Corpus,10,0.31,0.91,0.53972527,,,,
100% Corpus,10,0.31,symmetric,0.546622001,,,,
100% Corpus,10,0.61,0.01,0.569872909,,,,
100% Corpus,10,0.61,0.31,0.618712357,,,,
100% Corpus,10,0.61,0.61,0.623651607,,,,
100% Corpus,10,0.61,0.91,0.677188164,,,,
100% Corpus,10,0.61,symmetric,0.593462078,,,,
100% Corpus,10,0.91,0.01,0.582717805,,,,
100% Corpus,10,0.91,0.31,0.658636979,,,,
100% Corpus,10,0.91,0.61,0.665643918,,,,
100% Corpus,10,0.91,0.91,0.702277741,,,,
100% Corpus,10,0.91,symmetric,0.59437229,,,,
100% Corpus,10,symmetric,0.01,0.526079739,,,,
100% Corpus,10,symmetric,0.31,0.566068699,,,,
100% Corpus,10,symmetric,0.61,0.547002082,,,,
100% Corpus,10,symmetric,0.91,0.528641039,,,,
100% Corpus,10,symmetric,symmetric,0.529765024,,,,
100% Corpus,10,asymmetric,0.01,0.574167247,,,,
100% Corpus,10,asymmetric,0.31,0.552222471,,,,
100% Corpus,10,asymmetric,0.61,0.515581588,,,,
100% Corpus,10,asymmetric,0.91,0.490647014,,,,
100% Corpus,10,asymmetric,symmetric,0.553376881,,,,
